"";"id";"screen name";"text"
"1";"UHJvcG9zYWw6ZWUwMjAzNjQtMjJkOS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_23492";"tout signe religieux distinctif doit être interdit dans l'espace public à l'exception de ceux qui enseignent leurs religions."
"2";"UHJvcG9zYWw6NWI1YzgyMmEtNDdjZi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_108376";"Non réponse"
"3";"UHJvcG9zYWw6NTg4OTVjZTktM2FiMi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_63458";"Non réponse"
"4";"UHJvcG9zYWw6NDY2NjI0MzItNDcyMS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_104446";"parler de la laïcité à l'école"
"5";"UHJvcG9zYWw6ZTIyNTc4NTEtMjNmMy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_26603";"Non réponse"
"6";"UHJvcG9zYWw6MGY4ZjIwNzgtNDU5Yy0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_95213";"La loi de 1905 est suffisante. La faire appliquer dans toute sa rigueur. L'islam pose le problème du mélange du civil et du religieux. Imposer aux guides de cette religion une formation civique républicaine avec une maîtrise du français."
"7";"UHJvcG9zYWw6M2ZlZTdkM2YtMjhkYS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_37445";"Mettre toutes les religions sur le même pied d'égalité - Que chaque religion soit responsable de ses lieux de culte Arrêter les cérémonies religieuses comme hommage de la République au niveau de l'Etat mais aussi au niveau local. Je ne trouve pas normal qu'il y ait des cérémonies chrétiennes dans les communes avant des hommages nationaux"
"8";"UHJvcG9zYWw6MzJiMDk2YjAtMWVmYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_6919";"Laisser vivre les gens librement, ne pas se focaliser sur tel ou tel religion. Et apprendre des le plus jeunes âgés le vivre ensemble"
"9";"UHJvcG9zYWw6NjhmODI0NmItMWU0MC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_1346";"Non réponse"
"10";"UHJvcG9zYWw6NGRlMWQ1YTgtMzJmMC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_51313";"Non réponse"
"11";"UHJvcG9zYWw6NWJmNjhiYjAtM2QwYy0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_67656";"Non réponse"
"12";"UHJvcG9zYWw6ZGJmYWUxMDEtNDU3MC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_94302";"Non réponse"
"13";"UHJvcG9zYWw6NTczNDBjZDAtMzhlNy0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_60653";"Non réponse"
